[Wed Nov 06 07:32:13.265971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8112] PHP Notice:  Trying to get property 'survey_name' of non-object in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 23
[Wed Nov 06 07:32:13.265971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8112] PHP Notice:  Undefined variable: survey in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 29
[Wed Nov 06 07:32:13.266971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8112] PHP Notice:  Trying to get property 'questions' of non-object in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 29
[Wed Nov 06 07:32:13.266971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:8112] PHP Warning:  Invalid argument supplied for foreach() in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 29
[Wed Nov 06 07:32:13.266971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8112] PHP Notice:  Undefined variable: survey in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 38
[Wed Nov 06 07:32:13.266971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8112] PHP Notice:  Trying to get property 'questions' of non-object in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 38
[Wed Nov 06 07:32:13.267971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:8112] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 38
[Wed Nov 06 07:55:33.872971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8455] PHP Notice:  Undefined variable: user in C:\\web\\xampp\\htdocs\\form\\controllers\\ViewResultsController.php on line 20
[Wed Nov 06 08:02:46.599971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8541] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 22, referer: http://127.0.0.1:7000/forms.php
[Wed Nov 06 08:02:46.599971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8541] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 23, referer: http://127.0.0.1:7000/forms.php
[Wed Nov 06 08:05:15.025971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:8545] PHP Warning:  ini_set(): A session is active. You cannot change the session module's ini settings at this time in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 155, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:05:15.026971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:8545] PHP Warning:  session_set_cookie_params(): Cannot change session cookie parameters when session is active in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 158, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:05:15.026971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:8545] PHP Warning:  session_name(): Cannot change session name when session is active in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 160, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:05:15.026971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8545] PHP Notice:  session_start(): A session had already been started - ignoring in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 162, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:05:15.099971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8545] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 22, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:05:15.100971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8545] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 23, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:07:54.335971 2019] [php7:notice] [pid 7692:tid 1688] [client 127.0.0.1:8567] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 22, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:07:54.335971 2019] [php7:notice] [pid 7692:tid 1688] [client 127.0.0.1:8567] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 23, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:09:32.821971 2019] [php7:notice] [pid 7692:tid 1688] [client 127.0.0.1:8600] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 22, referer: http://127.0.0.1:7000/forms.php
[Wed Nov 06 08:09:32.821971 2019] [php7:notice] [pid 7692:tid 1688] [client 127.0.0.1:8600] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 23, referer: http://127.0.0.1:7000/forms.php
[Wed Nov 06 08:11:27.436971 2019] [php7:warn] [pid 7692:tid 1688] [client 127.0.0.1:8605] PHP Warning:  ini_set(): A session is active. You cannot change the session module's ini settings at this time in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 155, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:11:27.437971 2019] [php7:warn] [pid 7692:tid 1688] [client 127.0.0.1:8605] PHP Warning:  session_set_cookie_params(): Cannot change session cookie parameters when session is active in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 158, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:11:27.437971 2019] [php7:warn] [pid 7692:tid 1688] [client 127.0.0.1:8605] PHP Warning:  session_name(): Cannot change session name when session is active in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 160, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:11:27.437971 2019] [php7:notice] [pid 7692:tid 1688] [client 127.0.0.1:8605] PHP Notice:  session_start(): A session had already been started - ignoring in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 162, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:11:27.527971 2019] [php7:notice] [pid 7692:tid 1688] [client 127.0.0.1:8605] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 22, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:11:27.528971 2019] [php7:notice] [pid 7692:tid 1688] [client 127.0.0.1:8605] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 23, referer: http://127.0.0.1:7000/form_edit.php
[Wed Nov 06 08:26:57.482971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8704] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 22, referer: http://127.0.0.1:7000/forms.php
[Wed Nov 06 08:26:57.482971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8704] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 23, referer: http://127.0.0.1:7000/forms.php
[Thu Nov 07 01:13:45.030196 2019] [php7:notice] [pid 7572:tid 1664] [client 127.0.0.1:4319] PHP Notice:  Undefined variable: survey in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 11
[Thu Nov 07 01:13:45.030196 2019] [php7:notice] [pid 7572:tid 1664] [client 127.0.0.1:4319] PHP Notice:  Trying to get property 'survey_name' of non-object in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 11
[Thu Nov 07 01:13:45.030196 2019] [php7:notice] [pid 7572:tid 1664] [client 127.0.0.1:4319] PHP Notice:  Undefined variable: survey in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 17
[Thu Nov 07 01:13:45.030196 2019] [php7:notice] [pid 7572:tid 1664] [client 127.0.0.1:4319] PHP Notice:  Trying to get property 'questions' of non-object in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 17
[Thu Nov 07 01:13:45.030196 2019] [php7:warn] [pid 7572:tid 1664] [client 127.0.0.1:4319] PHP Warning:  Invalid argument supplied for foreach() in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 17
[Thu Nov 07 01:13:45.030196 2019] [php7:notice] [pid 7572:tid 1664] [client 127.0.0.1:4319] PHP Notice:  Undefined variable: survey in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 26
[Thu Nov 07 01:13:45.031196 2019] [php7:notice] [pid 7572:tid 1664] [client 127.0.0.1:4319] PHP Notice:  Trying to get property 'questions' of non-object in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 26
[Thu Nov 07 01:13:45.031196 2019] [php7:warn] [pid 7572:tid 1664] [client 127.0.0.1:4319] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 26
[Thu Nov 07 01:22:54.799167 2019] [php7:notice] [pid 7572:tid 1664] [client 127.0.0.1:4360] PHP Notice:  Undefined variable: survey in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 11
[Thu Nov 07 01:22:54.800167 2019] [php7:notice] [pid 7572:tid 1664] [client 127.0.0.1:4360] PHP Notice:  Trying to get property 'survey_name' of non-object in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 11
[Thu Nov 07 01:25:21.608847 2019] [php7:error] [pid 7572:tid 1664] [client 127.0.0.1:4369] PHP Fatal error:  Uncaught Error: Call to undefined method ViewResultsController::getSurveyRes() in C:\\web\\xampp\\htdocs\\form\\controllers\\ViewResultsController.php:19\nStack trace:\n#0 C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php(68): ViewResultsController->handleRequest(Array)\n#1 C:\\web\\xampp\\htdocs\\form\\view_results.php(6): Controller->display()\n#2 {main}\n  thrown in C:\\web\\xampp\\htdocs\\form\\controllers\\ViewResultsController.php on line 19
[Thu Nov 07 01:26:39.996685 2019] [php7:error] [pid 7572:tid 1648] [client 127.0.0.1:4374] PHP Fatal error:  Uncaught TypeError: Argument 1 passed to Survey::getSurveyRes() must be an instance of PDO, array given, called in C:\\web\\xampp\\htdocs\\form\\controllers\\ViewResultsController.php on line 19 and defined in C:\\web\\xampp\\htdocs\\form\\models\\Survey.php:183\nStack trace:\n#0 C:\\web\\xampp\\htdocs\\form\\controllers\\ViewResultsController.php(19): Survey::getSurveyRes(Array)\n#1 C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php(68): ViewResultsController->handleRequest(Array)\n#2 C:\\web\\xampp\\htdocs\\form\\view_results.php(6): Controller->display()\n#3 {main}\n  thrown in C:\\web\\xampp\\htdocs\\form\\models\\Survey.php on line 183
[Thu Nov 07 01:28:39.651649 2019] [php7:notice] [pid 7572:tid 1648] [client 127.0.0.1:4383] PHP Notice:  Trying to get property 'res_id' of non-object in C:\\web\\xampp\\htdocs\\form\\controllers\\ViewResultsController.php on line 19
[Thu Nov 07 01:28:39.651649 2019] [php7:notice] [pid 7572:tid 1648] [client 127.0.0.1:4383] PHP Notice:  Undefined variable: pdo in C:\\web\\xampp\\htdocs\\form\\models\\Survey.php on line 198
[Thu Nov 07 01:28:39.651649 2019] [php7:error] [pid 7572:tid 1648] [client 127.0.0.1:4383] PHP Fatal error:  Uncaught Error: Call to a member function prepare() on null in C:\\web\\xampp\\htdocs\\form\\models\\Survey.php:198\nStack trace:\n#0 C:\\web\\xampp\\htdocs\\form\\controllers\\ViewResultsController.php(19): Survey::getSurveyRes(NULL)\n#1 C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php(68): ViewResultsController->handleRequest(Array)\n#2 C:\\web\\xampp\\htdocs\\form\\view_results.php(6): Controller->display()\n#3 {main}\n  thrown in C:\\web\\xampp\\htdocs\\form\\models\\Survey.php on line 198
[Thu Nov 07 01:29:27.912475 2019] [php7:crit] [pid 7572:tid 1648] [client 127.0.0.1:4389] PHP Parse error:  syntax error, unexpected 'die' (T_EXIT) in C:\\web\\xampp\\htdocs\\form\\controllers\\ViewResultsController.php on line 20
[Thu Nov 07 01:30:07.197403 2019] [php7:notice] [pid 7572:tid 1648] [client 127.0.0.1:4422] PHP Notice:  Undefined variable: pdo in C:\\web\\xampp\\htdocs\\form\\models\\Survey.php on line 198
